                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7004,                  10.15,                 1.5029,                  0.672,                0.15741,                0.13304,                0.07187,                 1.4031,                 12.828,                 1.2723,             0.00012624,             0.00012624,             0.00012624
                      2,                 1.4559,                 3.2587,                 1.3214,                0.51543,                0.42451,                0.45163,                0.26406,                 1.4912,                 2.3382,                 1.3564,             0.00025519,             0.00025519,             0.00025519
                      3,                  1.396,                 2.2011,                 1.2929,                0.57394,                0.68569,                0.66503,                0.39714,                 1.3357,                 1.7961,                 1.3087,             0.00038153,             0.00038153,             0.00038153
                      4,                 1.4192,                 1.8894,                 1.3334,                0.71099,                0.67441,                0.73141,                0.43664,                 1.4209,                 1.3521,                 1.3961,             0.00050527,             0.00050527,             0.00050527
                      5,                 1.4168,                  1.655,                 1.3248,                0.69103,                0.57348,                0.67802,                0.38671,                 1.4026,                  1.617,                 1.4468,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.4393,                 1.5457,                 1.3468,                0.69499,                0.67933,                0.72145,                0.39351,                 1.4352,                 1.4906,                 1.4112,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.3738,                 1.3782,                  1.297,                0.73404,                0.60998,                0.71148,                0.42429,                 1.4254,                 1.4224,                 1.3911,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.3822,                 1.3956,                 1.3156,                0.72855,                0.69012,                0.76952,                0.46006,                 1.4081,                 1.2773,                 1.3574,             0.00048955,             0.00048955,             0.00048955
                      9,                 1.3203,                 1.2546,                 1.2717,                0.79472,                 0.7235,                0.82527,                0.51681,                 1.2582,                 1.0613,                 1.2833,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.3024,                  1.208,                 1.2794,                0.78024,                0.81298,                0.86597,                0.52771,                 1.3055,                0.97627,                 1.3537,             0.00047913,             0.00047913,             0.00047913
                     11,                   1.31,                 1.1548,                  1.257,                0.65175,                0.80093,                 0.8357,                0.51126,                 1.3235,                 1.0609,                 1.3329,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.2704,                 1.0956,                 1.2262,                 0.7918,                0.72043,                0.85452,                0.52654,                 1.2157,                 1.0552,                 1.2597,             0.00046872,             0.00046872,             0.00046872
                     13,                  1.273,                 1.0701,                 1.2434,                0.81801,                 0.8324,                0.88492,                 0.5484,                 1.2975,                 0.9065,                 1.2886,             0.00046351,             0.00046351,             0.00046351
                     14,                  1.232,                 1.0302,                 1.2328,                0.80189,                0.80998,                 0.8856,                0.54171,                 1.2648,                0.89461,                 1.2716,              0.0004583,              0.0004583,              0.0004583
                     15,                 1.2257,                 1.0639,                 1.2366,                0.73233,                0.83964,                0.86137,                0.54874,                 1.1979,                0.94158,                 1.2504,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.2175,                 0.9989,                 1.2273,                0.80418,                0.80877,                0.89607,                0.58682,                 1.1816,                0.87272,                  1.232,             0.00044789,             0.00044789,             0.00044789
                     17,                 1.1889,                0.98179,                 1.1795,                0.85049,                0.82601,                0.89269,                 0.5532,                 1.2777,                   0.85,                 1.2828,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.1844,                0.96413,                 1.1778,                0.83468,                0.84229,                0.87323,                0.57452,                 1.2223,                0.85546,                 1.2423,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.1449,                0.90457,                  1.186,                0.79405,                0.87835,                0.91854,                0.57677,                 1.1535,                0.83864,                  1.227,             0.00043227,             0.00043227,             0.00043227
                     20,                 1.1187,                0.86605,                 1.1414,                 0.7948,                0.88665,                0.91106,                0.56317,                 1.1292,                0.78966,                 1.2036,             0.00042706,             0.00042706,             0.00042706
                     21,                  1.139,                 0.8603,                 1.1619,                0.81254,                0.90183,                0.91035,                0.58499,                 1.1442,                0.84165,                 1.1689,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.1172,                0.83221,                 1.1563,                0.88138,                0.81868,                0.89344,                 0.5741,                 1.1862,                0.75376,                 1.2228,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.0916,                0.85936,                 1.1443,                0.82467,                0.86186,                0.90539,                0.60086,                 1.1359,                0.80692,                 1.2204,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.1006,                0.84154,                 1.1511,                0.86504,                0.86581,                0.92943,                0.60886,                 1.1021,                0.75986,                 1.1796,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.0898,                0.80939,                 1.1406,                0.87403,                0.84744,                0.91347,                0.57359,                 1.1653,                0.73276,                 1.1938,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.0694,                0.76946,                  1.118,                0.87922,                0.87122,                0.92533,                0.59585,                 1.1354,                0.71415,                 1.1998,             0.00039581,             0.00039581,             0.00039581
                     27,                 1.0575,                0.76789,                 1.1128,                0.88388,                0.90518,                 0.9343,                0.60713,                 1.1417,                0.70201,                 1.2038,             0.00039061,             0.00039061,             0.00039061
                     28,                 1.0694,                0.78471,                 1.1361,                0.86372,                0.91652,                0.93258,                0.59462,                 1.1649,                0.69372,                 1.2187,              0.0003854,              0.0003854,              0.0003854
                     29,                 1.0622,                0.78406,                  1.146,                0.84751,                0.90193,                 0.9353,                  0.609,                 1.1217,                0.73378,                 1.1729,             0.00038019,             0.00038019,             0.00038019
                     30,                 1.0393,                 0.7592,                  1.128,                 0.9335,                0.89324,                0.94114,                0.61545,                 1.1329,                0.71711,                 1.1818,             0.00037499,             0.00037499,             0.00037499
